user id : [426], type : [Использовал товар], product item : [item3], time : [2021-10-08 01:01:25]
user id : [426], type : [Приобрел товар], product item : [item3], time : [2021-10-08 01:01:25]
user id : [426], type : [Использовал товар], product item : [item3], time : [2021-10-08 01:01:25]
user id : [426], type : [Приобрел товар], product item : [item3], time : [2021-10-08 01:02:10]
user id : [426], type : [Использовал товар], product item : [item3], time : [2021-10-08 01:02:19]
user id : [426], type : [Приобрел товар], product item : [item3], time : [2021-10-08 01:02:23]
user id : [426], type : [Использовал товар], product item : [item3], time : [2021-10-08 01:02:31]
user id : [492], type : [Использовал товар], product item : [item3], time : [2021-10-08 01:02:48]
user id : [492], type : [Использовал товар], product item : [item4], time : [2021-10-08 01:02:59]
user id : [426], type : [Приобрел товар], product item : [item3], time : [2021-10-08 01:04:50]
user id : [492], type : [Приобрел товар], product item : [item3], time : [2021-10-08 01:04:52]
user id : [492], type : [Использовал товар], product item : [item3], time : [2021-10-08 01:05:05]
user id : [492], type : [Приобрел товар], product item : [item3], time : [2021-10-08 01:05:09]
user id : [426], type : [Использовал товар], product item : [item3], time : [2021-10-08 01:05:14]
user id : [426], type : [Приобрел товар], product item : [item4], time : [2021-10-08 01:05:15]
user id : [492], type : [Использовал товар], product item : [item3], time : [2021-10-08 01:05:17]
user id : [426], type : [Использовал товар], product item : [item4], time : [2021-10-08 01:05:18]
user id : [492], type : [Приобрел товар], product item : [item4], time : [2021-10-08 01:05:19]
user id : [426], type : [Приобрел товар], product item : [item3], time : [2021-10-08 01:05:19]
user id : [426], type : [Использовал товар], product item : [item3], time : [2021-10-08 01:05:22]
user id : [426], type : [Приобрел товар], product item : [item4], time : [2021-10-08 01:05:24]
user id : [492], type : [Использовал товар], product item : [item4], time : [2021-10-08 01:05:25]
user id : [426], type : [Использовал товар], product item : [item4], time : [2021-10-08 01:05:27]
user id : [426], type : [Приобрел товар], product item : [item3], time : [2021-10-08 01:05:28]
user id : [492], type : [Приобрел товар], product item : [item3], time : [2021-10-08 01:05:30]
